ID1,ID2,Sex,Age,"Age class (1=calf, 2=yearling, 3=adult)",Year,Location (1=Island 2=Småland 3=Sörmland 4=V-götland),Location 2 (1=Öland 2=Mainland,Weight (carcass),AP-titre (1:40-1:1280),AP-pos (at least 1:40),AP-PCR (1=pos),,,,,,,,,,,,,,,,,,,,,,,,,,
IMYM0902,9M10,M,1.5,2,2009,1,1,157,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMYM0901,9M3,M,1.5,2,2009,1,1,,1:160,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM1002,10M5,M,1.5,2,2010,1,1,104,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCF1001,10J8,F,1.5,2,2010,1,1,121,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBYF1001,10J6,F,1.5,2,2010,1,1,130,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBYM1001,10B5,M,1.5,2,2010,1,1,130,1:80,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCF1002,10J9,F,1.5,2,2010,1,1,140,1:1280,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCF1003,10J2,F,1.5,2,2010,1,1,150,1:1280,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBYM1002,10J3,M,1.5,2,2010,1,1,,1:80,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBYM1003,10J13,M,1.5,2,2010,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBYF0706,40,F,2.5,3,2007,1,1,140,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF0705,10,F,2.5,3,2007,1,1,168,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF0703,7,F,2.5,3,2007,1,1,208,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBYF0701,0,F,2.5,3,2007,1,1,212,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM0701,39,M,2.5,3,2008,1,1,150,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF0801,B11,F,2.5,3,2008,1,1,160,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM0803,M10,M,2.5,3,2008,1,1,181,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAM0801,B20,M,2.5,3,2008,1,1,214,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAM0904,9B8,M,2.5,3,2009,1,1,185,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF0901,9B3,F,2.5,3,2009,1,1,202,1:160,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM0906,9M6,M,2.5,3,2009,1,1,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAM0903,9B7,M,2.5,3,2009,1,1,224,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAF1003,10M6,F,2.5,3,2010,1,1,168,1:1280,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAF1002,10M2,F,2.5,3,2010,1,1,176,1:320,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF0707,12,F,3.5,3,2007,1,1,170,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAF0701,29,F,3.5,3,2007,1,1,188,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAM0701,42,M,3.5,3,2008,1,1,197,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAF0901,9M8,F,3.5,3,2009,1,1,144,1:160,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAM0905,9B11,M,3.5,3,2009,1,1,228,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM0905,9M14,M,3.5,3,2009,1,1,230,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAF1004,10J1,F,3.5,3,2010,1,1,200,1:1280,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF0706,11,F,4.5,3,2007,1,1,172,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAF0803,Ö5M,F,4.5,3,2008,1,1,120,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAF0801,Ö6M,F,4.5,3,2008,1,1,193,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM0801,Ö3M,M,4.5,3,2008,1,1,198,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAF0802,Ö2M,F,4.5,3,2008,1,1,204,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAM0802,B23,M,4.5,3,2008,1,1,210,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM0803,M2,M,4.5,3,2008,1,1,240,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0704,38,M,4.5,3,2008,1,1,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF0902,9B5,F,4.5,3,2009,1,1,181,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF0904,9B1,F,4.5,3,2009,1,1,188,1:320,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF0903,9B6,F,4.5,3,2009,1,1,220,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAM0906,9B12,M,4.5,3,2009,1,1,226,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM0902,9M1,M,4.5,3,2009,1,1,247,1:160,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAM0907,9B14,M,4.5,3,2009,1,1,248,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAM0902,9B4,M,4.5,3,2009,1,1,265,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
